PRODUTO;DESCRIPTION
Oracle Autonomous Transaction Processing- Dedicated;Serviço autônomo de processamento de transações dedicado na nuvem Oracle.
Oracle Autonomous Transaction Processing- Dedicated-BYOL;Serviço autônomo de processamento de transações dedicado na nuvem Oracle, utilizando suas próprias licenças.
Oracle Autonomous Transaction Processing- Dedicated-ECPU;Serviço autônomo de processamento de transações dedicado na nuvem Oracle, cobrando por unidade central de processamento elástica.
Oracle Autonomous Transaction Processing- Dedicated-ECPU-BYOL;Serviço autônomo de processamento de transações dedicado na nuvem Oracle, cobrando por unidade central de processamento elástica e utilizando suas próprias licenças.
Oracle Autonomous Transaction Processing- ECPU;Serviço autônomo de processamento de transações na nuvem Oracle, cobrando por unidade central de processamento elástica.
Oracle Autonomous Transaction Processing- ECPU-BYOL;Serviço autônomo de processamento de transações na nuvem Oracle, cobrando por unidade central de processamento elástica e utilizando suas próprias licenças.
Oracle Autonomous Transaction Processing- Exadata Storage;Serviço autônomo de processamento de transações com armazenamento Exadata na nuvem Oracle.
Oracle Base Database Service-BYOL;Serviço de banco de dados básico na nuvem Oracle, utilizando suas próprias licenças.
Oracle Base Database Service-Enterprise;Serviço de banco de dados empresarial na nuvem Oracle.
Oracle Base Database Service-Extreme Performance;Serviço de banco de dados de desempenho extremo na nuvem Oracle.
Oracle Base Database Service-High Performance;Serviço de banco de dados de alto desempenho na nuvem Oracle.
Oracle Base Database Service-Standard;Serviço de banco de dados padrão na nuvem Oracle.
Oracle Big Data Service-Compute-Standard;Serviço de computação para big data na nuvem Oracle.
Oracle Cloud Infrastructure Application Performance Monitoring Service-Stack Monitoring;Serviço de monitoramento de desempenho de aplicativos na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Database Migration;Serviço de migração de banco de dados na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Identity and Access Management-External User;Serviço de gerenciamento de identidade e acesso para usuários externos na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Identity and Access Management-Oracle Apps Premium;Serviço de gerenciamento de identidade e acesso para aplicativos Oracle Premium na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Identity and Access Management-Premium;Serviço de gerenciamento de identidade e acesso Premium na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Identity and Access Management-Replication;Serviço de replicação de gerenciamento de identidade e acesso na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Identity and Access Management-SMS;Serviço de SMS para gerenciamento de identidade e acesso na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Identity and Access Management-Token;Serviço de token para gerenciamento de identidade e acesso na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Process Automation- Execution Pack;Pacote de execução para automação de processos na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Process Automation- User;Serviço de usuário para automação de processos na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure Search with OpenSearch HA;Serviço de busca com alta disponibilidade usando OpenSearch na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-API Gateway- 1,000,000 API Calls;Serviço de gateway de API para 1,000,000 chamadas de API na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Block Volume Performance;Serviço de desempenho de volume de bloco na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Block Volume Storage;Serviço de armazenamento de volume de bloco na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Compute-Microsoft SQL Enterprise;Serviço de computação para SQL Server Enterprise na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Compute-Microsoft SQL Standard;Serviço de computação para SQL Server Standard na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Compute-Standard- E5-Memory;Serviço de computação padrão com memória E5 na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Compute-Standard- E5-OCPU;Serviço de computação padrão com OCPU E5 na infraestrutura de nuvem Oracle, oferecendo desempenho balanceado para cargas de trabalho gerais.
Oracle Cloud Infrastructure-Compute-Standard- X9-Memory;Serviço de computação padrão com memória X9 na infraestrutura de nuvem Oracle, otimizado para cargas de trabalho que requerem alta memória.
Oracle Cloud Infrastructure-Compute-Standard-X9;Serviço de computação padrão X9 na infraestrutura de nuvem Oracle, oferecendo flexibilidade e alta performance para diversas aplicações.
Oracle Cloud Infrastructure-Data Integration;Serviço de integração de dados na infraestrutura de nuvem Oracle, permitindo a criação, execução e monitoramento de fluxos de trabalho de integração de dados.
Oracle Cloud Infrastructure-Data Integration- Pipeline Operator Execution;Serviço de execução de operador de pipeline de integração de dados na infraestrutura de nuvem Oracle, facilitando a automação e gerenciamento de pipelines de dados.
Oracle Cloud Infrastructure-Data Integration- Workspace;Serviço de espaço de trabalho de integração de dados na infraestrutura de nuvem Oracle, fornecendo um ambiente colaborativo para desenvolvimento de integrações.
Oracle Cloud Infrastructure-Data Retrieval - Storage;Serviço de armazenamento para recuperação de dados na infraestrutura de nuvem Oracle, garantindo acesso rápido e seguro aos dados armazenados.
Oracle Cloud Infrastructure-Data Safe for Database Cloud Service;Serviço de segurança de dados para serviços de banco de dados na nuvem Oracle, oferecendo proteção abrangente para dados armazenados.
Oracle Cloud Infrastructure-Data Safe for Database Cloud Service-Audit Record Collection Over 1 Million Records;Serviço de coleta de registros de auditoria para serviços de banco de dados na nuvem Oracle, capaz de gerenciar coleções de mais de 1 milhão de registros.
Oracle Cloud Infrastructure-Data Safe for On- Premises Databases & Databases on Compute;Serviço de segurança de dados para bancos de dados on-premises e bancos de dados em computação na nuvem Oracle, proporcionando uma solução unificada para proteção de dados.
Oracle Cloud Infrastructure-Email Delivery;Serviço de entrega de email na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-External Key Management;Serviço de gerenciamento de chaves externo na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-FastConnect 1 Gbps;Serviço FastConnect com 1 Gbps na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-FastConnect 10 Gbps;Serviço FastConnect com 10 Gbps na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-FastConnect 100Gbps;Serviço FastConnect com 100 Gbps na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-File Storage;Serviço de armazenamento de arquivos na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-GoldenGate;Serviço GoldenGate para integração e replicação de dados em tempo real na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-GoldenGate-BYOL;Serviço GoldenGate para integração e replicação de dados em tempo real na infraestrutura de nuvem Oracle, utilizando suas próprias licenças.
Oracle Cloud Infrastructure-Health Checks- Premium;Serviço de verificação de integridade Premium na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Health Checks-Basic;Serviço de verificação de integridade Básico na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-HeatWave;Serviço HeatWave na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-HeatWave-Storage;Serviço de armazenamento HeatWave na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Key Management- Private Vault;Serviço de gerenciamento de chaves privadas Vault na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-KMS Vault-Key Versions;Serviço de versões de chaves Vault no gerenciamento de chaves KMS na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Load Balancer Bandwidth;Serviço de largura de banda para balanceador de carga na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Load Balancer Base;Serviço base de balanceador de carga na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Logging-Storage;Serviço de armazenamento de logs na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Monitoring-Ingestion;Serviço de ingestão de monitoramento na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Monitoring-Retrieval;Serviço de recuperação de monitoramento na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Notifications-Email Delivery;Serviço de entrega de notificações por email na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Notifications-HTTPS Delivery;Serviço de entrega de notificações via HTTPS na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Notifications-SMS Outbound to Country;Serviço de entrega de SMS para um país na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Object Storage- Requests;Serviço de requisições de armazenamento de objetos na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Object Storage- Storage;Serviço de armazenamento de objetos na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Outbound Data Transfer-Originating in APAC, Japan, and South America;Serviço de transferência de dados outbound originando na APAC, Japão e América do Sul na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Outbound Data Transfer-Originating in Middle East and Africa;Serviço de transferência de dados outbound originando no Oriente Médio e África na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Outbound Data Transfer-Originating in North America, Europe, and UK;Serviço de transferência de dados outbound originando na América do Norte, Europa e Reino Unido na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Streaming-PUT or GET;Serviço de streaming PUT ou GET na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Streaming-Storage;Serviço de armazenamento de streaming na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Web Application Firewall-Instance;Instância de firewall de aplicação web na infraestrutura de nuvem Oracle.
Oracle Cloud Infrastructure-Web Application Firewall-Requests;Serviço de requisições de firewall de aplicação web na infraestrutura de nuvem Oracle.
Oracle Cloud SQL-Compute Capacity;Serviço de capacidade de computação SQL na infraestrutura de nuvem Oracle.
Oracle Container Engine for Kubernetes- Enhanced Cluster;Serviço de cluster aprimorado para Kubernetes na infraestrutura de nuvem Oracle.
Oracle Data Integrator Cloud Service;Serviço de integração de dados na nuvem Oracle.
Oracle Data Integrator Cloud Service-BYOL;Serviço de integração de dados na nuvem Oracle utilizando suas próprias licenças.
Oracle Database Backup Cloud-Object Storage;Serviço de armazenamento de objetos para backup de banco de dados na infraestrutura de nuvem Oracle.
Oracle Database Backup Service-GET and all other Requests;Serviço de requisições GET e outras para backup de banco de dados na infraestrutura de nuvem Oracle.
Oracle Database Backup Service-Outbound Data Transfer;Serviço de transferência de dados outbound para backup de banco de dados na infraestrutura de nuvem Oracle.
Oracle Database Backup Service-PUT, COPY, POST or LIST Requests;Serviço de requisições PUT, COPY, POST ou LIST para backup de banco de dados na infraestrutura de nuvem Oracle.
Oracle Database Backup Service-Storage Capacity;Serviço de capacidade de armazenamento para backup de banco de dados na infraestrutura de nuvem Oracle.
Oracle Database Cloud Service-All Editions-BYOL;Serviço de banco de dados na nuvem para todas as edições, utilizando suas próprias licenças.
Oracle Database Cloud Service-Enterprise Edition Extreme Performance-General Purpose;Serviço de banco de dados na nuvem Enterprise Edition Extreme Performance para propósito geral.
Oracle Database Cloud Service-Enterprise Edition High Performance-General Purpose;Serviço de banco de dados na nuvem Enterprise Edition High Performance para propósito geral.
Oracle Database Cloud Service-Standard Edition- General Purpose;Serviço de banco de dados na nuvem Standard Edition para propósito geral.
Oracle Digital Assistant Cloud Service;Serviço de assistente digital na nuvem Oracle.
Oracle Functions-Execution Time-10,000 Gigabyte Memory;Serviço de tempo de execução de funções com memória de 10,000 gigabytes na nuvem Oracle.
Oracle Functions-Invocations;Serviço de invocações de funções na nuvem Oracle.
Oracle Identity Cloud Service-Consumer User;Serviço de identidade na nuvem Oracle para usuário consumidor.
Oracle Identity Cloud Service-Consumer User- BYOL;Serviço de identidade na nuvem Oracle para usuário consumidor utilizando suas próprias licenças.
Oracle Identity Cloud Service-Enterprise User;Serviço de identidade na nuvem Oracle para usuário empresarial.
Oracle Identity Cloud Service-Enterprise User- BYOL;Serviço de identidade na nuvem Oracle para usuário empresarial utilizando suas próprias licenças.
Oracle Identity Foundation Cloud Service;Serviço de identidade fundacional na nuvem Oracle.
Oracle Integration Cloud Service-Enterprise;Serviço de integração na nuvem Oracle para empresas.
Oracle Integration Cloud Service-Enterprise-BYOL;Serviço de integração na nuvem Oracle para empresas utilizando suas próprias licenças.
Oracle Integration Cloud Service-Standard;Serviço de integração na nuvem Oracle padrão.
Oracle Integration Cloud Service-Standard-BYOL;Serviço de integração na nuvem Oracle padrão utilizando suas próprias licenças.
Oracle Java Cloud Service-Enterprise;Serviço de nuvem Java para empresas na Oracle.
Oracle Java Cloud Service-Standard;Serviço de nuvem Java padrão na Oracle.
Oracle Mobile Hub Cloud Service;Serviço de hub móvel na nuvem Oracle.
Oracle NoSQL Database Cloud Service-Read;Serviço de leitura de banco de dados NoSQL na nuvem Oracle.
Oracle NoSQL Database Cloud Service-Storage;Serviço de armazenamento de banco de dados NoSQL na nuvem Oracle.
Oracle NoSQL Database Cloud Service-Write;Serviço de escrita de banco de dados NoSQL na nuvem Oracle.
Oracle NoSQL Database Cloud-Hosted Environment;Ambiente hospedado na nuvem Oracle para banco de dados NoSQL.
Oracle NoSQL Database Cloud-Read-Auto;Serviço de leitura automática de banco de dados NoSQL na nuvem Oracle.
Oracle NoSQL Database Cloud-Write-Auto;Serviço de escrita automática de banco de dados NoSQL na nuvem Oracle.
Oracle SOA Suite for Oracle Cloud Infrastructure;Oracle SOA Suite na infraestrutura de nuvem Oracle.
Oracle SOA Suite for Oracle Cloud Infrastructure- with B2B Adapter for EDI;Oracle SOA Suite na infraestrutura de nuvem Oracle com adaptador B2B para EDI.
Oracle Stream Analytics for Oracle Cloud Infrastructure;Serviço de análise de stream na infraestrutura de nuvem Oracle.
Oracle Threat Intelligence Service;Serviço de inteligência de ameaças na infraestrutura de nuvem Oracle.
Oracle Visual Builder;Serviço de construção visual na infraestrutura de nuvem Oracle.
Oracle Visual Builder Studio-Additional Storage;Serviço de armazenamento adicional para Oracle Visual Builder Studio.
Oracle ZFS Storage-High Availability;Serviço de armazenamento ZFS de alta disponibilidade na Oracle.
Route 53;Serviço de sistema de nomes de domínio (DNS) escalável e altamente disponível da AWS.
Security Groups ;Serviço de grupos de segurança para controle de tráfego na AWS.
Serverless;Serviço de computação serverless da AWS para execução de código sem provisionar ou gerenciar servidores.
SMC;Serviço de Gerenciamento de Serviços da Huawei.
SMN;Serviço de Notificação Simples da Huawei.
Speech;Serviço de reconhecimento de fala da Oracle.
SWR;Serviço de Registro de Contêiner da Huawei.
TMS;Serviço de Gerenciamento de Testes da Huawei.
VPC ;Serviço de Nuvem Privada Virtual (VPC) da AWS que permite provisionar uma seção isolada da nuvem AWS.
VPC Endpoint;Serviço de Endpoint VPC da Huawei que permite a conexão de instâncias em uma VPC a serviços sem precisar de gateways.
VPC NAT Gateway;Serviço de Gateway NAT VPC da Huawei que fornece acesso à internet para instâncias em uma VPC.
VPN;Serviço de Rede Privada Virtual (VPN) da Huawei para conectar redes locais à nuvem.
